arm,cfg_tar,tstart,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
"CFG adapter, src=3.5",7.0,50,5.209850352397864,0.057855540645467496,0.2888764412558057,0.009903682073084225,0.2542381454542603,0.013757229786606123
"CFG adapter, src=3.5",7.0,75,5.848852684947028,0.06494516329956881,0.28448864362499526,0.011133314228227264,0.27161550098301274,0.013846975842891648
"CFG adapter, src=3.5",7.0,99,5.8579477155726885,0.0638617801308658,0.2918815274355745,0.01009152788538213,0.2701197008075921,0.013383446849170913
"pair-run cond adapter, src=1.0 (nu unused)",3.5,25,2.8754381924262944,0.03889578380142397,0.2435544495142834,0.011547697286516542,0.17358421033005353,0.017505094514035605
"pair-run cond adapter, src=1.0 (nu unused)",3.5,50,4.432726246826891,0.058813155885610285,0.30893890403103136,0.009313271040452965,0.22992789021733662,0.015940638172419263
"pair-run cond adapter, src=1.0 (nu unused)",3.5,75,5.257340163355288,0.06652574725012483,0.32102626549457947,0.008260153224697147,0.2702822676586473,0.013549341293764484
"pair-run cond adapter, src=1.0 (nu unused)",3.5,99,5.3517832412581505,0.068040361927362,0.3147407830684729,0.00801258279010214,0.2717738584736767,0.012926463574196577
"pair-run cond adapter, src=1.0 (nu unused)",7.0,25,2.9655726197491523,0.040632051602187975,0.25102669820918333,0.011492515280376706,0.17931896224617958,0.017435962720198192
"pair-run cond adapter, src=1.0 (nu unused)",7.0,50,4.863627979133439,0.056176566279651875,0.336575319542401,0.008368725040130759,0.2697484095580876,0.015091213200078231
"pair-run cond adapter, src=1.0 (nu unused)",7.0,75,5.5989173948246505,0.0620264064553965,0.3350817786456774,0.008062710377032692,0.3026351881092009,0.012642872737643194
"pair-run cond adapter, src=1.0 (nu unused)",7.0,99,5.661984715081644,0.0628428366890261,0.32719839377112797,0.008427240320349014,0.3052205969458041,0.012336814801477802
"pair-branch BOTH adapters, src=3.5",3.5,25,2.8920621641304187,0.03845860121779369,0.24180654693826817,0.011414460232200238,0.175057972052499,0.017614806636202157
"pair-branch BOTH adapters, src=3.5",3.5,50,5.052894842762877,0.06402799034701612,0.2280726977113796,0.011599611382093415,0.1905026541698886,0.01316029480518246
"pair-branch BOTH adapters, src=3.5",3.5,75,5.951764102742292,0.07020409810551553,0.15723172783149755,0.014604781522504334,0.16868563104704346,0.014140085036085687
"pair-branch BOTH adapters, src=3.5",3.5,99,6.030616167801013,0.06872557961052456,0.14709981466252084,0.01462885922226002,0.16516545791604112,0.0139617437333139
"pair-branch BOTH adapters, src=3.5",7.0,25,2.9602820650736494,0.04011176690526543,0.252842512263552,0.011464265346298028,0.17941330483578063,0.017438608247914194
"pair-branch BOTH adapters, src=3.5",7.0,50,5.100414183243462,0.057900228469148746,0.30654172234102217,0.00915909408073466,0.2653195134849976,0.014254388905243675
"pair-branch BOTH adapters, src=3.5",7.0,75,5.822807126114334,0.0630709984755292,0.28938397032478685,0.011422745115068446,0.2763140072155258,0.01302950729493349
"pair-branch BOTH adapters, src=3.5",7.0,99,5.828845871427785,0.06297509999954669,0.29675967423704214,0.010101858231816615,0.2741177575743717,0.013152147555818656
