mode,tstart,cfg_tar,n,lpaps,lpaps_sem,psnr,ssim,clap,clap_sem,muq,muq_sem,clap_dir,muq_dir,run
ddpm,50,6.0,115,3.921603268283741,0.04102416101146472,19.235996321102665,0.6823275990262884,0.26482341614785154,0.011310575653730896,0.18760583804231948,0.016796367048576257,0.03949730122542898,0.14137953147292137,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar6.0_t50_s200
ddpm,50,12.0,115,4.083708890377858,0.04210702145317881,19.078148527840337,0.6567745753508515,0.28206415714572647,0.0112911851668457,0.20788031557736839,0.016470168547621136,0.06455389791289746,0.18836245988698108,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar12.0_t50_s200
ddpm,50,18.0,115,4.277329434346461,0.043163102123654436,18.86838839278411,0.6260093207755218,0.29339819198200484,0.011132007301074984,0.2235186362861777,0.01607475179827129,0.08557660535949725,0.22318579706808794,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar18.0_t50_s200
ddpm,100,3.0,115,4.097622191841805,0.05001996303453367,19.208514380447955,0.6736256799266169,0.28534662655629917,0.01079719368817464,0.2034402902804963,0.01646922082049286,0.08923069458940754,0.19774330102069224,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar3.0_t100_s200
ddpm,100,6.0,115,4.338287440032445,0.05505685729680763,18.93547797647427,0.640984533189843,0.327711642942937,0.00995501073359529,0.2540148833928549,0.015556936678509863,0.14448598407654334,0.27277302246378815,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar6.0_t100_s200
ddpm,100,12.0,115,4.846806754784554,0.0574540561719611,18.273681836454852,0.5666693046175428,0.3673085383701622,0.009202281417765738,0.31413173797013966,0.01358216968020887,0.20565974856929287,0.35077736335604087,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar12.0_t100_s200
ddpm,100,18.0,115,5.18061779610612,0.05464193402690645,17.692809476004285,0.5091584532605405,0.37429122146120675,0.008900941320330874,0.3321875197084054,0.012099996744503032,0.22290513820379323,0.3724312770139912,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar18.0_t100_s200
ddpm,150,3.0,115,4.611316896980593,0.0691300507526563,18.72541314078544,0.6111993816429195,0.31679456502823916,0.010600627784003317,0.2520328870103897,0.015170922191708023,0.16806398965013417,0.2956950034217342,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar3.0_t150_s200
ddpm,150,6.0,115,4.975217827096984,0.06967559443094627,17.937309549010998,0.5561522211333303,0.3637125933502741,0.00905889150420052,0.3213878685284568,0.014008651353727492,0.2272110914406569,0.3720675477191158,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar6.0_t150_s200
ddpm,150,12.0,115,5.528613117871571,0.058141463384188206,16.65361659683048,0.45536630413222906,0.38085499598488487,0.008569690166576509,0.3564935609374357,0.012517945545897436,0.25712230447679757,0.40023895730466946,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar12.0_t150_s200
ddpm,150,18.0,115,5.816343521973114,0.049864292543218426,15.867528341005206,0.3947542757176358,0.376874572308522,0.008397102140205396,0.3588333680739869,0.012709728461370574,0.2535604871971452,0.39560580773522025,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar18.0_t150_s200
ddpm,200,3.0,115,5.23694945096476,0.08529402451087048,16.46136674008496,0.5163305835713914,0.29817474842703984,0.011925032229501229,0.2581760429888559,0.015739777053797113,0.18821181970769946,0.32833018706220646,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar3.0_t200_s200
ddpm,200,6.0,115,5.487031062987033,0.07554704762113736,15.410617551616728,0.46069033500137857,0.338883055523732,0.010886488537413105,0.31783652037544097,0.014130455662162754,0.23279726452234648,0.37462391262145145,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar6.0_t200_s200
ddpm,200,12.0,115,5.898384681695735,0.061276178441122896,14.421773221555329,0.37623314808533515,0.35440487026335293,0.010280911152963692,0.3406460480035647,0.013893821200545234,0.2466387300549642,0.37799169001695904,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar12.0_t200_s200
ddpm,200,18.0,115,6.14747456705595,0.05511699719998206,13.902600171799907,0.3222651885610089,0.3530000286863241,0.010691625091689638,0.3371351654317392,0.012841835171129665,0.24140460137277842,0.3712094970776335,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar18.0_t200_s200
sdedit,50,3.0,115,4.4597016405516285,0.03926385982207272,18.89961556234353,0.5872503999642447,0.25698090018075936,0.011500694990048695,0.17970714173482163,0.016456543575450663,0.018783843877684805,0.12274494897574183,audioldm2_sdedit_hparam_cfgtar3.0_t50_s200
sdedit,50,6.0,115,4.476213075759247,0.039416708065257204,18.875007380026883,0.5840367010550945,0.2665921254426734,0.01134929028629652,0.18917565895649402,0.016241364064067714,0.03264121107514136,0.14130641756903217,audioldm2_sdedit_hparam_cfgtar6.0_t50_s200
sdedit,50,12.0,115,4.5451021798747915,0.039878139349818154,18.801325693197676,0.5738508532700525,0.28179509486285786,0.011142364387490035,0.20462512438863759,0.01592915302884639,0.057234211553536016,0.17791341769954433,audioldm2_sdedit_hparam_cfgtar12.0_t50_s200
sdedit,50,18.0,115,4.629582303335455,0.0405324472356721,18.708000207521923,0.5610148095980745,0.29329610979481446,0.010964746042608489,0.21864014415920752,0.01569564868847697,0.07776583029848075,0.2086853340268135,audioldm2_sdedit_hparam_cfgtar18.0_t50_s200
sdedit,100,3.0,115,5.404455691583408,0.04646072667124707,18.265422941396714,0.4567539892997359,0.30546215308749164,0.010115640672322297,0.21519975910449157,0.01430622473670111,0.11434446691899841,0.22512939068610255,audioldm2_sdedit_hparam_cfgtar3.0_t100_s200
sdedit,100,6.0,115,5.464377348176194,0.04669310131664078,18.132406552324635,0.4453500127004615,0.33686891303175975,0.00946369334154266,0.2608212518060337,0.014306508678280028,0.15565655108784204,0.27104021742454043,audioldm2_sdedit_hparam_cfgtar6.0_t100_s200
sdedit,100,12.0,115,5.592227133450796,0.047203591229629305,17.819951150412887,0.4188591114108441,0.3644589350295424,0.009046890627868068,0.3064561345493016,0.012757556390379298,0.19860618873296873,0.3283830033777201,audioldm2_sdedit_hparam_cfgtar12.0_t100_s200
sdedit,100,18.0,115,5.700959904475241,0.0464229427604781,17.500636867284168,0.3941811691705345,0.37753198435526203,0.008953586335747889,0.3265445597388822,0.0120029454987425,0.2237301227434174,0.35934395176237044,audioldm2_sdedit_hparam_cfgtar18.0_t100_s200
sdedit,150,3.0,115,6.334856274823965,0.04840823628767529,17.050969835445954,0.2782691750638134,0.32851998366137836,0.010399130972866624,0.24515516172649096,0.012341177895907926,0.19893857739541843,0.30004189050068025,audioldm2_sdedit_hparam_cfgtar3.0_t150_s200
sdedit,150,6.0,115,6.349790454443938,0.046095264321597676,16.52906478750649,0.25988986757363736,0.3815478972969557,0.008815521849786675,0.3232867656842522,0.010928168141378132,0.24619208017931035,0.35761922445634137,audioldm2_sdedit_hparam_cfgtar6.0_t150_s200
sdedit,150,12.0,115,6.4271408636081295,0.04449511971069684,15.612629525738933,0.22616658013641805,0.39207388209753646,0.0080217372121182,0.3611311641076337,0.010758342121790453,0.26363908903187383,0.3845237948000431,audioldm2_sdedit_hparam_cfgtar12.0_t150_s200
sdedit,150,18.0,115,6.48974392931407,0.043622138127477166,14.999343941422692,0.2046719748880472,0.3885935892237208,0.00803040878319144,0.3707664356931396,0.011087612822416043,0.2646814667498288,0.3915282059946786,audioldm2_sdedit_hparam_cfgtar18.0_t150_s200
sdedit,200,3.0,115,6.736943665291212,0.04125591854860658,15.494522153986228,0.19232750320419728,0.32471539108333314,0.011304444953398728,0.2519616976218379,0.013362975361999577,0.22299548578651052,0.31420376096730646,audioldm2_sdedit_hparam_cfgtar3.0_t200_s200
sdedit,200,6.0,115,6.730190785755529,0.03975329148356076,14.613850591966832,0.16880863301791274,0.35952819819914994,0.009340275979027054,0.31562593506406184,0.013148846760100443,0.2550751216223706,0.3566066013244183,audioldm2_sdedit_hparam_cfgtar6.0_t200_s200
