arm,tstart,steps,nfe,depth,t_max,cfg_tar,n,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
DDIM Inv.,100,100,400,100,991,15.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s100_cfgtar15.0,6.139333577061782,0.020603684739423693,0.3501841718948452,0.004210973343317087,0.3426593068470956,0.005347616834770702
DDIM Inv. + LoRA (Gen),100,400,400,25,199,3.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s400_cfgtar3.0,3.8512666550722354,0.018027300986599926,0.24470311281912838,0.004440853487609849,0.16080244878426075,0.006758113429963903
DDIM Inv. + LoRA (Gen),100,300,400,33,298,3.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s300_cfgtar3.0,3.8950987807333832,0.018540434121646052,0.25096056500250047,0.004380808180685656,0.16560784674029178,0.006689105155087912
DDIM Inv. + LoRA (Gen),100,200,400,50,496,3.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s200_cfgtar3.0,4.294717888917405,0.022359606853628467,0.2876187220185403,0.004043357167611196,0.20032126903878497,0.006428430374598208
DDIM Inv. + LoRA (Gen),100,133,400,75,694,3.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s133_cfgtar3.0,5.0360542036319735,0.025508549345086784,0.2832065266578224,0.004919098277458783,0.23365419010358096,0.006099410055020851
DDIM Inv. + LoRA (Gen),100,100,400,100,991,3.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s100_cfgtar3.0,5.67371965511516,0.027436449706624573,0.26167989000777464,0.005797605276069751,0.24396075376388654,0.0061775060572843285
DDIM Inv. + LoRA (Gen),100,400,400,25,199,6.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s400_cfgtar6.0,3.8603113803998266,0.018046628870599005,0.25134150204126704,0.004435054653761487,0.1667712763203457,0.006753649768355118
DDIM Inv. + LoRA (Gen),100,300,400,33,298,6.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s300_cfgtar6.0,3.934011154942781,0.01892558107330113,0.26501829406884625,0.004353754729119558,0.1805439808120919,0.006635091595645966
DDIM Inv. + LoRA (Gen),100,200,400,50,496,6.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s200_cfgtar6.0,4.464216179777085,0.023600025059933857,0.327801002401376,0.003796819595599032,0.2547521074456377,0.0062492136406578445
DDIM Inv. + LoRA (Gen),100,133,400,75,694,6.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s133_cfgtar6.0,5.203167313135055,0.025281321985475752,0.35029299435881245,0.003994087414923809,0.31744266231778484,0.005547346754277006
DDIM Inv. + LoRA (Gen),100,100,400,100,991,6.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s100_cfgtar6.0,5.768650246758603,0.02519300231016842,0.342163733566277,0.004336939956009844,0.3312625362585973,0.0055458636484617164
DDIM Inv. + LoRA (Gen),100,400,400,25,199,9.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s400_cfgtar9.0,3.889368371372674,0.01817059845146437,0.2573566020896923,0.004422191676340466,0.17244066376186876,0.006725754722351809
DDIM Inv. + LoRA (Gen),100,300,400,33,298,9.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s300_cfgtar9.0,4.010116885582084,0.019377026476235293,0.27685312857911537,0.004311843432015979,0.19338998496204604,0.006584547046321761
DDIM Inv. + LoRA (Gen),100,200,400,50,496,9.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s200_cfgtar9.0,4.662890085144877,0.024001838634357148,0.34631243427725633,0.0036654800886180695,0.2823282696625175,0.005914594422917492
DDIM Inv. + LoRA (Gen),100,133,400,75,694,9.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s133_cfgtar9.0,5.3976561058526755,0.023957047836259338,0.36981976136646966,0.0036789087543864394,0.34698495286116754,0.005215229835056072
DDIM Inv. + LoRA (Gen),100,100,400,100,991,9.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s100_cfgtar9.0,5.934153074416783,0.022787558523732796,0.35034146007332584,0.004117790420919865,0.3419093852849335,0.005391864886075463
DDIM Inv. + LoRA (Gen),100,400,400,25,199,12.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s400_cfgtar12.0,3.9277662471882877,0.018343554604142255,0.26287213090236783,0.0044119199268633676,0.17751346845694968,0.006700545253557258
DDIM Inv. + LoRA (Gen),100,300,400,33,298,12.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s300_cfgtar12.0,4.09627131149866,0.019795513606795757,0.2866307865995666,0.004274994170306017,0.20440586158020915,0.006562940212216107
DDIM Inv. + LoRA (Gen),100,200,400,50,496,12.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s200_cfgtar12.0,4.827317156861666,0.02369358401032499,0.3567779035575996,0.0035692814512239364,0.3008009761594632,0.005599245413186036
DDIM Inv. + LoRA (Gen),100,133,400,75,694,12.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s133_cfgtar12.0,5.548067680165196,0.022701334661718014,0.37741331185380084,0.0035623117211377358,0.3591151177456961,0.004994815581392438
DDIM Inv. + LoRA (Gen),100,100,400,100,991,12.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s100_cfgtar12.0,6.051155769051785,0.02161206065780521,0.35214975928088615,0.0041503489854526066,0.3428218889332192,0.005397520365937975
DDIM Inv. + LoRA (Gen),100,400,400,25,199,15.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s400_cfgtar15.0,3.9725837144611242,0.018525774990257322,0.26789463105025346,0.004393267640899073,0.18226348282639693,0.0066688398381407835
DDIM Inv. + LoRA (Gen),100,300,400,33,298,15.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s300_cfgtar15.0,4.182701964905566,0.020139468577427082,0.29429510833620215,0.004225201665388076,0.21323647377257343,0.0065280307358900605
DDIM Inv. + LoRA (Gen),100,200,400,50,496,15.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s200_cfgtar15.0,4.961334264376285,0.023301852377899883,0.3624314212318398,0.0034933017482032406,0.31273601613651114,0.00537482719278827
DDIM Inv. + LoRA (Gen),100,133,400,75,694,15.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s133_cfgtar15.0,5.66241559511123,0.021872014920591473,0.3798928946211651,0.003541797070303703,0.3646791894442131,0.004904478783829854
DDIM Inv. + LoRA (Gen),100,100,400,100,991,15.0,696,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_full_nfe400_t100_s100_cfgtar15.0,6.1403496617819355,0.020692280595735375,0.3518293836447025,0.004171381443448636,0.34429370428117034,0.0054013751531644715
DDIM Inv. + LoRA (Real),100,400,400,25,199,3.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s400_cfgtar3.0,3.8522630232430637,0.018029383297083312,0.24462770923002672,0.004440184416410143,0.16099658965644287,0.006758673390339514
DDIM Inv. + LoRA (Real),100,300,400,33,298,3.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s300_cfgtar3.0,3.895725569513958,0.01855314626059938,0.25085106595832823,0.004380913753384864,0.1658148770432166,0.006686900068812832
DDIM Inv. + LoRA (Real),100,200,400,50,496,3.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s200_cfgtar3.0,4.297922488288535,0.02241865223442382,0.287320302870337,0.004044409206105604,0.20058839755066224,0.006423113004822531
DDIM Inv. + LoRA (Real),100,133,400,75,694,3.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s133_cfgtar3.0,5.039907679721085,0.025628797910180717,0.28220963864140575,0.004959064061777095,0.2337857964493792,0.0061072798572197
DDIM Inv. + LoRA (Real),100,100,400,100,991,3.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s100_cfgtar3.0,5.689073216776477,0.02751135996259886,0.25890547590286656,0.0058331647341958665,0.24369845506179832,0.006175370995191314
DDIM Inv. + LoRA (Real),100,400,400,25,199,6.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s400_cfgtar6.0,3.8612567894703127,0.01805184017696684,0.25124084499725163,0.004434093013126984,0.16691287920623615,0.006754010933009687
DDIM Inv. + LoRA (Real),100,300,400,33,298,6.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s300_cfgtar6.0,3.9349629289663812,0.018944178883317807,0.2649671228153976,0.004351387325030857,0.18064748146236692,0.00663188972509858
DDIM Inv. + LoRA (Real),100,200,400,50,496,6.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s200_cfgtar6.0,4.466262157295627,0.023604026173284828,0.327714438177368,0.003790447212778359,0.2551182370901177,0.006239789897922147
DDIM Inv. + LoRA (Real),100,133,400,75,694,6.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s133_cfgtar6.0,5.206499281479122,0.025335062139688783,0.3495547725233948,0.004014679634778966,0.31775213849005535,0.005539310664771903
DDIM Inv. + LoRA (Real),100,100,400,100,991,6.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s100_cfgtar6.0,5.77696912812694,0.025179695133595432,0.3404429055348683,0.004363472284529066,0.33071503304707783,0.005540148579444135
DDIM Inv. + LoRA (Real),100,400,400,25,199,9.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s400_cfgtar9.0,3.890338802982792,0.018180395172061596,0.2572968577657134,0.0044214157505447155,0.17253959444614098,0.0067255436066795205
DDIM Inv. + LoRA (Real),100,300,400,33,298,9.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s300_cfgtar9.0,4.011201896183662,0.019383862179512396,0.27680678720202473,0.004311264253265381,0.19349394572849235,0.006581931056552879
DDIM Inv. + LoRA (Real),100,200,400,50,496,9.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s200_cfgtar9.0,4.664958089117019,0.023993893913971814,0.34608941728929843,0.0036679953606960883,0.28250529742953584,0.00589871307204692
DDIM Inv. + LoRA (Real),100,133,400,75,694,9.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s133_cfgtar9.0,5.40024734546023,0.02397187844466623,0.36924114378117756,0.003676974786083762,0.3471842260259182,0.005222257982240885
DDIM Inv. + LoRA (Real),100,100,400,100,991,9.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s100_cfgtar9.0,5.939918623537592,0.022804121422935576,0.34874000832861307,0.004178092369252448,0.3411433662509682,0.005415066464778468
DDIM Inv. + LoRA (Real),100,400,400,25,199,12.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s400_cfgtar12.0,3.9287795967982646,0.0183537267881598,0.2628603261085923,0.004410143336740739,0.1776483660263087,0.0066989121075364455
DDIM Inv. + LoRA (Real),100,300,400,33,298,12.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s300_cfgtar12.0,4.097137647831316,0.019801210407402903,0.2865672817338569,0.004274977076020998,0.2044078153153298,0.0065607853146267105
DDIM Inv. + LoRA (Real),100,200,400,50,496,12.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s200_cfgtar12.0,4.82910840400807,0.023696063879088243,0.3566381223631944,0.0035663932312626385,0.3010470556548861,0.005588609423876276
DDIM Inv. + LoRA (Real),100,133,400,75,694,12.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s133_cfgtar12.0,5.550113983949841,0.02272584454350434,0.3770128080966912,0.0035668808892970623,0.35903680335460014,0.004979856235428845
DDIM Inv. + LoRA (Real),100,100,400,100,991,12.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s100_cfgtar12.0,6.0554657689831455,0.021589578580172356,0.35133441708102725,0.004166698231893354,0.3426394297581784,0.005397623693386602
DDIM Inv. + LoRA (Real),100,400,400,25,199,15.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s400_cfgtar15.0,3.9735599008336315,0.018534092932368875,0.26790863013373645,0.004391789888484008,0.18235486238298673,0.006666390955945721
DDIM Inv. + LoRA (Real),100,300,400,33,298,15.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s300_cfgtar15.0,4.183643770058036,0.02013302094358149,0.2942541344441434,0.0042240114969878065,0.21324922671643937,0.0065262311137842515
DDIM Inv. + LoRA (Real),100,200,400,50,496,15.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s200_cfgtar15.0,4.962652509126529,0.023283321646974414,0.3622435402521423,0.003490337101018904,0.3127991444479417,0.0053692537621649345
DDIM Inv. + LoRA (Real),100,133,400,75,694,15.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s133_cfgtar15.0,5.664655426649461,0.02188167605704451,0.3794402299991163,0.0035299851621621667,0.3644903243496618,0.00488971617414643
DDIM Inv. + LoRA (Real),100,100,400,100,991,15.0,696,audioldm2_ddimlora_aldm2realfn_r8_a4_lr5e-5_checkpoint_step_3000_full_nfe400_t100_s100_cfgtar15.0,6.143909086917488,0.020671760351872265,0.35070350358871366,0.004208876504111427,0.34336303571077204,0.005414097726278055
DDPM Inv.,40,160,400,25,235,3.0,696,audioldm2_ddpm_nolora_full_nfe400_t40_s160_cfgtar3.0,3.873466836088136,0.0179319575396344,0.24736166318620972,0.004425309355845755,0.16319216036844272,0.006746293155807401
DDPM Inv.,50,150,400,33,295,3.0,696,audioldm2_ddpm_nolora_full_nfe400_t50_s150_cfgtar3.0,3.890125961228186,0.018076413255278413,0.25029664295916837,0.004379341545309465,0.16636768514230238,0.006720748035486637
DDPM Inv.,67,133,400,50,463,3.0,696,audioldm2_ddpm_nolora_full_nfe400_t67_s133_cfgtar3.0,4.053710608735689,0.021348478376487907,0.27406473798311826,0.004077891816724406,0.18789866507781305,0.006523645201038266
DDPM Inv.,86,114,400,75,681,3.0,696,audioldm2_ddpm_nolora_full_nfe400_t86_s114_cfgtar3.0,4.491193890443544,0.026783200576867512,0.2976326948007235,0.004082522403690091,0.2208589807864621,0.006282365242174823
DDPM Inv.,100,100,400,100,991,3.0,696,audioldm2_ddpm_nolora_full_nfe400_t100_s100_cfgtar3.0,5.1842813461749815,0.03171828455851138,0.29563419000615454,0.004361874792520449,0.23939559239451405,0.0062335570072700125
DDPM Inv.,40,160,400,25,235,6.0,696,audioldm2_ddpm_nolora_full_nfe400_t40_s160_cfgtar6.0,3.9012683785256947,0.018153082707129498,0.256818415851715,0.004407005124311108,0.17332528533014915,0.0067091292048730424
DDPM Inv.,50,150,400,33,295,6.0,696,audioldm2_ddpm_nolora_full_nfe400_t50_s150_cfgtar6.0,3.943287774785073,0.018606204360248776,0.26480307352871746,0.0043462532394693346,0.18212987641180362,0.0066370153541672
DDPM Inv.,67,133,400,50,463,6.0,696,audioldm2_ddpm_nolora_full_nfe400_t67_s133_cfgtar6.0,4.245726132276252,0.023127821932086748,0.3091996129504958,0.003913094341626298,0.230088108699085,0.006274449334792435
DDPM Inv.,86,114,400,75,681,6.0,696,audioldm2_ddpm_nolora_full_nfe400_t86_s114_cfgtar6.0,4.8211636151064265,0.026816237381844087,0.35246622675836603,0.003617441978067177,0.29130924956862353,0.006019145628201452
DDPM Inv.,100,100,400,100,991,6.0,696,audioldm2_ddpm_nolora_full_nfe400_t100_s100_cfgtar6.0,5.445663992638104,0.02969095655699609,0.3413118978587377,0.003895539060146926,0.3037282981891078,0.005721330061203786
DDPM Inv.,40,160,400,25,235,9.0,696,audioldm2_ddpm_nolora_full_nfe400_t40_s160_cfgtar9.0,3.96416290240188,0.01844413911726463,0.2655238772574231,0.004386208756610256,0.182660098416609,0.006656877709374703
DDPM Inv.,50,150,400,33,295,9.0,696,audioldm2_ddpm_nolora_full_nfe400_t50_s150_cfgtar9.0,4.046165348041332,0.019199235819464405,0.2779552738448084,0.004286253940329033,0.19603540775755518,0.006540138294908723
DDPM Inv.,67,133,400,50,463,9.0,696,audioldm2_ddpm_nolora_full_nfe400_t67_s133_cfgtar9.0,4.4875208593892735,0.02392935469378906,0.33138415340479965,0.0037648958676236095,0.26008565233500663,0.006014067926256439
DDPM Inv.,86,114,400,75,681,9.0,696,audioldm2_ddpm_nolora_full_nfe400_t86_s114_cfgtar9.0,5.136481909931815,0.025190553889842253,0.37098042912354695,0.003455459860064466,0.3221220436640453,0.005621505903112681
DDPM Inv.,100,100,400,100,991,9.0,696,audioldm2_ddpm_nolora_full_nfe400_t100_s100_cfgtar9.0,5.695211781085876,0.026376067329465968,0.35145107434071876,0.0038758566813096415,0.32438257318936775,0.005564324956364433
DDPM Inv.,40,160,400,25,235,12.0,696,audioldm2_ddpm_nolora_full_nfe400_t40_s160_cfgtar12.0,4.0464544837958965,0.018752604614577978,0.2732934143951744,0.004352245972816286,0.19116825649254532,0.006611732921784299
DDPM Inv.,50,150,400,33,295,12.0,696,audioldm2_ddpm_nolora_full_nfe400_t50_s150_cfgtar12.0,4.166129606937735,0.019724478636159087,0.2888944059206418,0.00420968385735803,0.20781553057705246,0.006434420106587692
DDPM Inv.,67,133,400,50,463,12.0,696,audioldm2_ddpm_nolora_full_nfe400_t67_s133_cfgtar12.0,4.703072623874264,0.02411407737267698,0.34395548363668177,0.0036576841200794737,0.28075821515194127,0.005766188129998773
DDPM Inv.,86,114,400,75,681,12.0,696,audioldm2_ddpm_nolora_full_nfe400_t86_s114_cfgtar12.0,5.369338620737497,0.02319132185819057,0.37894994328582227,0.003391020050161679,0.33644821063713065,0.005346931301708215
DDPM Inv.,100,100,400,100,991,12.0,696,audioldm2_ddpm_nolora_full_nfe400_t100_s100_cfgtar12.0,5.87339324412218,0.023767322094256582,0.35568848201426706,0.0039420970525998016,0.33597689258849955,0.005379492420524107
DDPM Inv.,40,160,400,25,235,15.0,696,audioldm2_ddpm_nolora_full_nfe400_t40_s160_cfgtar15.0,4.13650959275773,0.019020700897885906,0.2799943356121687,0.0043155125906922335,0.19788854941491563,0.006548193412737743
DDPM Inv.,50,150,400,33,295,15.0,696,audioldm2_ddpm_nolora_full_nfe400_t50_s150_cfgtar15.0,4.290720361360253,0.020079808493709096,0.2974845911546723,0.004153989548470529,0.21792677823270487,0.006347710696134844
DDPM Inv.,67,133,400,50,463,15.0,696,audioldm2_ddpm_nolora_full_nfe400_t67_s133_cfgtar15.0,4.883526256226195,0.023763800319450124,0.3519611642935453,0.0035847350638100414,0.29531961280067087,0.005570583977294277
DDPM Inv.,86,114,400,75,681,15.0,696,audioldm2_ddpm_nolora_full_nfe400_t86_s114_cfgtar15.0,5.542862040778295,0.021538842153323568,0.3816936095044976,0.0033264634433857482,0.3442194223358435,0.00516622010923189
DDPM Inv.,100,100,400,100,991,15.0,696,audioldm2_ddpm_nolora_full_nfe400_t100_s100_cfgtar15.0,6.009894792601001,0.022199509884701218,0.35732585097653613,0.0039989453356936416,0.33882922191378906,0.005391902678515354
SDEdit,200,800,400,25,200,3.0,696,audioldm2_sdedit_nolora_full_nfe400_t200_s800_cfgtar3.0,4.365758949100613,0.01704305699945585,0.24689301225403523,0.004407084637795761,0.1620623374089529,0.006577608251588219
SDEdit,200,600,400,33,200,3.0,696,audioldm2_sdedit_nolora_full_nfe400_t200_s600_cfgtar3.0,4.365759055486911,0.01704305794411363,0.24689301341394157,0.004407084026964171,0.16206234851658033,0.006577609566245406
SDEdit,200,400,400,50,399,3.0,696,audioldm2_sdedit_nolora_full_nfe400_t200_s400_cfgtar3.0,4.971826507700847,0.019831647352758372,0.2736143060170695,0.004019503093081157,0.1803443123377062,0.005965086334396057
SDEdit,200,267,400,75,598,3.0,696,audioldm2_sdedit_nolora_full_nfe400_t200_s267_cfgtar3.0,5.909057007810753,0.02119821532054734,0.299635952884113,0.004100541503582895,0.20144461029431324,0.005167216860644494
SDEdit,200,200,400,100,996,3.0,696,audioldm2_sdedit_nolora_full_nfe400_t200_s200_cfgtar3.0,6.743634176381508,0.01625176640233542,0.32693477300860135,0.004302116746426596,0.24313239712266776,0.005322143564340684
